Ano;P;T;DEF;QP;AC;ETR
2006;324,9;25,54;0;19200;8000;707,24
2007;279,2;26,05;25;27000;10000;612,72
2008;327,75;25,36;0;40500;15000;691,09
2009;335,17;25,54;0;27405;10150;705,16
2010;211,62;26,11;0,45;30780;11400;761,17
2011;285;25,57;0;31860;11800;706,4
2012;173,65;25,55;0,82;31860;11800;704,48
2013;254,7;25,75;0,12;29179;10807;729,64
2014;299,45;25,62;0;41016;13672;710,88
2015;190,13;25,85;4,19;41016;13672;702,43
2016;152,7;26,38;25,2;41016;13672;641,56
2017;201,53;25,78;0,07;41016;13672;724,85
